"Date","Daily Issuance Rate","Active Supply","Transaction Volume","Adjusted Transaction Volume","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions Count","Transactions per Second Count"
"2018-02-23","0.0109580611634782","15087018.70896314","7292734246.267088","3719723660.847124","366148.20720004","1.51995787069032","126.63331160851219","0.012465055","180733","2.09181712962963"
"2018-02-22","0.0110333111542701","15084305.89390968","10925016239.147673","5320434911.180925","538605.92262489","1.99104723737101","99.57184214265338","0.01008","182712","2.11472222222222"
"2018-02-21","0.0125156734104349","15082107.84151273","11602269852.018337","4738328745.337096","453044.2552887","2.06853056114655","142.9172537794296","0.0136647","208330","2.41122685185185"
"2018-02-20","0.0104433777742701","15080496.97737995","10867010279.583422","3927530269.4562573","349240.07707124","1.92398840036019","170.52505190902943","0.015163265","194005","2.24542824074074"
"2018-02-19","0.0120000276722778","15078059.67037788","16467653052.075298","4822050290.992934","432884.12791783","2.92849540008292","142.58375335125632","0.0128","191633","2.21797453703704"
"2018-02-18","0.012001467851741","15076102.60137472","14028218193.688147","4008931966.5523605","383553.07007391","3.13005965928896","109.98705031338258","0.01052297","160325","1.85561342592593"
"2018-02-17","0.0110397120256959","15074337.51500056","12099964941.155401","4338716703.20457","391383.17491074","2.45062414192762","143.20941397212118","0.01291851","172015","1.99091435185185"
"2018-02-16","0.0116337325724145","15071783.24071061","6958937726.231661","3066472566.6116714","300949.78123651","1.45474945423719","143.78144489645447","0.014111","185173","2.14320601851852"
"2018-02-15","0.00970825661086823","15070798.04961473","9184705808.603073","3716710017.4550323","367745.93597357","1.74023049575583","165.92223703308196","0.016417","195903","2.26739583333333"
"2018-02-14","0.0132667683791351","15069678.42754304","10172254394.432173","4040783681.66432","426814.74558535","2.09289290061498","150.3737812803471","0.01588349","197735","2.28859953703704"
"2018-02-13","0.0121566408055468","15067292.30476753","9355259906.133871","4272924514.2895594","501283.56297266","2.25949831065819","149.6109627955183","0.0175518","188299","2.17938657407407"
"2018-02-12","0.0123063885661197","15065101.55112325","12032046545.780628","5267217393.7271805","591312.57532019","2.79079681623518","144.07613146869951","0.01617439","185649","2.14871527777778"
"2018-02-11","0.0111957432945888","15062841.41442583","8876173914.450544","3426688026.832186","423218.83891098","2.62937834296237","101.00272040723036","0.01247451","147871","1.71146990740741"
"2018-02-10","0.0106037785037824","15061546.2400315","10960373926.684612","4683614952.213816","549056.76269195","2.7903772396681","138.94119594714044","0.016287975","176305","2.04056712962963"
"2018-02-09","0.0100116217361416","15059413.46500307","7877707287.221819","3465309735.4749775","400130.28744247","1.76533739409802","115.55868233949157","0.01334326","178845","2.06996527777778"
"2018-02-08","0.00971595381665168","15058172.11475657","8126535023.956815","2927889054.8336864","356252.38804797","2.13780787653774","123.87554611907615","0.01507262","177469","2.05403935185185"
"2018-02-07","0.0104586458377176","15055045.9640367","7077013928.631075","2783629350.694538","365085.51712973","1.7119195316005","155.10401792526753","0.02034259","207672","2.40361111111111"
"2018-02-06","0.012611033783161","15054397.12347563","11253063462.198658","4281133989.6320376","553215.00923698","2.14114752767044","161.79956790883702","0.020908","245035","2.83605324074074"
"2018-02-05","0.0137255029859641","15051570.29829573","10293088392.566664","3416963381.8446608","498860.08477957","2.61441742859961","164.3890214237287","0.024","221421","2.56274305555556"
"2018-02-04","0.0132079724903963","15049431.27153069","4998590750.693157","2253583476.823354","273144.188879","1.33176331556271","120.55999921463214","0.0146124","172621","1.99792824074074"
"2018-02-03","0.0117254793356276","15046987.43977856","6194049187.06731","2467273233.62414","270175.87921063","1.36047604674068","149.68567185879755","0.016391155","190833","2.20871527777778"
"2018-02-02","0.0124690603380138","15046020.65640684","10130747894.919584","4436626371.170883","504960.9944619","1.82164912523603","265.45059289090483","0.03021264","237739","2.7516087962963"
"2018-02-01","0.0118767764824389","15043359.98565762","9138839738.243837","3821823537.243892","422774.40044653","1.53111870951868","221.29589703850382","0.02448","252498","2.92243055555556"
"2018-01-31","0.00868592441061103","15040551.02593138","7702333106.772323","3466118344.630398","344884.11001992","1.38689496838294","247.58672298879625","0.02463526","208360","2.41157407407407"
"2018-01-30","0.0123989348815307","15038873.46934159","8288375538.01461","3370715255.851047","338440.62909498","1.3576321861076","208.33439576493623","0.02091806","239554","2.77261574074074"
"2018-01-29","0.0109896402178943","15036725.22566911","9064737395.173561","3743787903.008718","336291.90547497","1.36468605207719","183.23227000928577","0.01645914","230013","2.6621875"
"2018-01-28","0.0117334729423214","15034972.63067093","11177385413.04777","3043852591.578423","262040.58289417","1.67716032175221","156.53224552889898","0.01347562","213698","2.47335648148148"
"2018-01-27","0.011660578646185","15032655.28712287","7070442812.72422","2638205117.4368453","233037.01663918","1.04877404466924","102.74912540152685","0.009076","192395","2.22679398148148"
"2018-01-26","0.0115133787696351","15031126.14425157","11291492972.691153","4598210158.823497","416672.32154403","1.76115474479956","195.61624101468502","0.017726","218851","2.53299768518518"
"2018-01-25","0.0117375697495187","15029871.0409266","9609359924.153503","3609026610.2700458","324247.60576721","1.3859008047855","196.9310937050351","0.01769298","238459","2.75994212962963"
"2018-01-24","0.0130762960793429","15028175.22336968","12298680830.636753","3907253655.3687086","348057.17018447","1.67067481381587","223.68002260454855","0.01992536","251628","2.91236111111111"
"2018-01-23","0.0131523130515532","15025817.9855448","11717321015.233728","3668662816.755002","338144.5575536","1.68393422738944","200.15392114626815","0.0184484","266082","3.07965277777778"
"2018-01-22","0.0124108768349409","15024259.53131743","11250027525.220984","3565809836.1332035","332094.01243033","1.57442306662355","206.7541277789556","0.0192556","250083","2.89447916666667"
"2018-01-21","0.0138989343696494","15021933.6176","8171390734.14214","3081410864.44853","269769.26155776","1.20391534972049","162.06915386932263","0.01418872","217475","2.51707175925926"
"2018-01-20","0.0132318407843188","15019388.40508341","11282720663.885574","3806615027.013582","298127.69492752","1.37918484588647","191.526068784336","0.015","236313","2.73510416666667"
"2018-01-19","0.0122670935522462","15017394.61720724","11844762061.993683","5046311691.55042","441101.30795175","1.57842944946721","262.7937672992204","0.02297097","242661","2.80857638888889"
"2018-01-18","0.0128634396946576","15015593.92053987","14954188810.101055","4751419845.344011","422497.15982712","1.57238812093024","302.0986540812583","0.02686267","307893","3.56357638888889"
"2018-01-17","0.0124189063367229","15014219.39599306","17187398355.83973","5284221966.872071","473513.19931845","1.76482512685888","370.46720032311475","0.03319715","314242","3.63706018518519"
"2018-01-16","0.0118254572603589","15011174.55895444","23643376015.42428","5501733404.666836","481297.70817297","2.44431045429388","369.31404371885327","0.032308","306170","3.54363425925926"
"2018-01-15","0.0111574111699448","15008232.27412968","12992205049.885696","4698536749.628536","345691.71364941","1.26723633020045","345.5009173193158","0.02542","272139","3.14975694444444"
"2018-01-14","0.0115306113933332","15006900.94080536","11695488959.993582","4112871008.332418","300625.05146376","1.27819467255163","276.65535910999165","0.02022177","236042","2.73196759259259"
"2018-01-13","0.0110855433767769","15004894.94854517","13038406726.930933","4509609437.989639","316881.3238161","1.25355641699386","355.7806266145525","0.025","264304","3.05907407407407"
"2018-01-12","0.0132446005920933","15002808.61541048","16869008810.564554","5503783959.2078705","399130.24001112","1.42955539024884","344.73609159848","0.025","304727","3.52693287037037"
"2018-01-11","0.0143626208912799","15001018.51968438","16493368795.158092","6166008764.161191","467591.06322542","1.36084353951472","356.48677709510696","0.0270337","334581","3.87246527777778"
"2018-01-10","0.0123551168395896","14999042.76487858","21590711969.97459","6875872658.2284","468732.10752551","1.48271483366509","440.072647969023","0.03","347701","4.02431712962963"
"2018-01-09","0.0122077682942259","14996278.77927951","22264023426.31953","6602692658.282621","459203.18996904","1.51682592057933","428.4900650731616","0.02980057","354874","4.10733796296296"
"2018-01-08","0.0123581521718941","14995332.8887575","26046517449.857944","6874611439.138275","460227.64969602","1.72650007216886","388.3727923249564","0.026","345855","4.00295138888889"
"2018-01-07","0.0120618559950469","14992760.62262542","35169046163.539734","8106144651.5197525","499402.2282831","2.08768943157564","451.8131259155303","0.02783524","372566","4.31210648148148"
"2018-01-06","0.0125101003525602","14990693.97361278","32266457597.455486","7289107352.712467","426174.13418483","1.8829387160178","362.2500015997393","0.021179765","356470","4.12581018518518"
"2018-01-05","0.010649810578277","14989330.32655223","28459729366.57833","8835935940.63457","519845.72122054","1.66938501553329","534.8536245409334","0.03146711","339441","3.92871527777778"
"2018-01-04","0.0125129981850831","14983391.43346465","22282863074.372517","7375467052.299312","489404.10353038","1.24106252585155","501.84101659523816","0.0333","424762","4.91622685185185"
"2018-01-03","0.0116951581474151","14982031.18016585","20441644161.970936","5633951922.35587","375339.40808778","1.29738939451849","491.5337353124476","0.03274646","396942","4.59423611111111"
"2018-01-02","0.0127395283997641","14981308.60499904","23072353354.920532","5946499844.124645","403034.43028847","1.62883962781513","383.99598970345215","0.026026","343664","3.97759259259259"
"2018-01-01","0.0116235066884924","14979079.73099956","13112988568.994493","4525439405.811561","336097.72195718","1.43719956470424","234.15032630625615","0.01739","241625","2.79658564814815"
"2017-12-31","0.0121464861439387","14977078.09311056","15387712808.638617","5360467848.525685","385050.12409169","1.41839549504439","216.93843283552525","0.015583","292987","3.39105324074074"
"2017-12-30","0.0109555237366879","14974792.52265224","18188710604.126286","6555985272.201985","506303.89387891","1.56894806212574","372.92301742513246","0.0288","338045","3.91255787037037"
"2017-12-29","0.0122983546226589","14973368.11965945","21761586003.732292","6303303281.513799","432570.21128374","1.53148542606971","345.7168615601073","0.02372515","356789","4.12950231481481"
"2017-12-28","0.0111071528987257","14970012.18678719","20018076021.285236","5902043874.639208","413034.99868976","1.68418955869969","328.6574008191118","0.023","303032","3.50731481481481"
"2017-12-27","0.0116302572414692","14966666.09938164","26168029998.713127","6589755157.445445","428212.028831","1.97910055768441","384.725014348335","0.025","311934","3.61034722222222"
"2017-12-26","0.0105877475892591","14960636.98228696","28087289388.40766","5049372805.338499","321060.98414362","2.61556656008546","314.542909585038","0.02","247416","2.86361111111111"
"2017-12-25","0.0100668822261504","14960126.65171855","19558053259.768524","4748008502.993027","337193.94734351","2.10407785380904","237.18488299629928","0.01684439","229330","2.65428240740741"
"2017-12-24","0.0113357048437218","14956986.00034218","15458824643.719566","4282675791.9394116","305330.80586163","1.49368124752252","199.17412549947343","0.0142","274389","3.17579861111111"
"2017-12-23","0.010367378987031","14955563.86975979","19013904775.57481","4670163231.152188","313205.53104952","1.51461403729074","298.217162098188","0.02","307204","3.55560185185185"
"2017-12-22","0.0115619450231034","14953482.81224382","19233196304.54445","6229757582.288744","435473.24451905","1.32259192325074","443.4352098414893","0.03099706","380012","4.39828703703704"
"2017-12-21","0.00984744012367555","14952061.89929499","19379305108.184475","5830037094.91961","372911.54717732","1.33235743597543","461.1980926896556","0.0295","334454","3.87099537037037"
"2017-12-20","0.0101468466047944","14951916.15702887","27313252965.53213","7181131421.64798","436446.70612799","1.73945134692149","501.83563144141004","0.0305","370374","4.28673611111111"
"2017-12-19","0.0104463432440661","14948882.92446685","24572109269.408516","6726711060.979105","381044.96721499","1.41755746396477","497.0042400579821","0.028153575","378510","4.38090277777778"
"2017-12-18","0.0135816650046305","14948317.86831928","46648908049.90056","8192798782.087784","431608.25947807","2.33958290447958","348.78180204366544","0.01837432","398048","4.60703703703704"
"2017-12-17","0.013807413880307","14945469.3810928","36733829974.75144","8729038915.56483","453445.5512413","1.93191298689664","269.66651849722405","0.01400831","389211","4.50475694444444"
"2017-12-16","0.0127642909240578","14943045.90261933","38238326272.358955","6989890214.645719","355891.41181041","2.08865517653344","273.39595325694887","0.01392","366938","4.24696759259259"
"2017-12-15","0.0126166113927126","14940631.51235151","37732099397.351135","8375471048.210931","473136.93483787","2.01575703785302","274.60708823562277","0.01551277","400877","4.63978009259259"
"2017-12-14","0.0138128261878315","14939126.62128363","38536255475.47691","7349568726.725809","442667.96237166","1.89221463081614","382.2922326480996","0.02302564","498142","5.76553240740741"
"2017-12-13","0.0138894086330442","14936497.05863855","45389796328.59642","8559402578.789805","518275.71930569","2.57590079890676","262.4895228608688","0.01589386","417596","4.83328703703704"
"2017-12-12","0.01165079966134","14934324.0002387","45493482732.99745","9715385518.397911","557268.79177797","2.64002980254675","256.2787818510226","0.0147","372599","4.31248842592593"
"2017-12-11","0.0127725569645694","14932091.23658674","40245238653.56544","9724131938.684345","576296.15759776","2.37643187259331","193.9562168257772","0.011494725","376572","4.35847222222222"
"2017-12-10","0.0122512685557486","14929020.44219342","25966988888.856987","8359090348.100384","540167.40515813","2.03817406934047","176.43031504259326","0.01140099","336561","3.89538194444444"
"2017-12-09","0.0129998897776297","14927146.74857505","35149000363.49937","9388313151.542408","623807.27285066","2.36913426624519","197.15528759897725","0.0131","401509","4.64709490740741"
"2017-12-08","0.0116565889374506","14925086.88883302","31776237842.55209","9351720368.078983","573778.42334356","1.93419495864751","264.8504192537255","0.01625","385493","4.46172453703704"
"2017-12-07","0.0113590261166003","14922582.80077465","48770485640.497086","10822103457.314718","635387.33264878","2.9668151359033","355.94861667324477","0.020898455","374945","4.3396412037037"
"2017-12-06","0.0140509178232202","14917500.95608308","39448139890.50941","6206599063.1082","443577.78453781","2.52178133428703","247.73615996226337","0.01770539","442897","5.12612268518519"
"2017-12-05","0.0133053981078584","14914532.23680826","28079673050.417847","5006204550.210619","426540.80689958","2.33383973797862","150.58589965724167","0.012830285","404804","4.68523148148148"
"2017-12-04","0.0135314468034421","14913190.46423805","26157383329.79777","4443329472.775895","384300.2996428","2.22212134702814","138.7455428030388","0.012","407287","4.71396990740741"
"2017-12-03","0.013159430591769","14911079.70918367","18189106625.399673","3410974414.1209064","304172.62856777","1.89325920456953","116.00184482346768","0.01034443","347132","4.01773148148148"
"2017-12-02","0.0120394725378209","14908387.54950785","18284979387.91203","3469269990.2336125","317266.97870632","2.1243818219662","115.50558212034649","0.01056306","325296","3.765"
"2017-12-01","0.0136862656077372","14906900.34137809","20732612639.10517","4340721495.046496","401585.5516783","1.89779275598106","130.4516427270539","0.012068845","412472","4.77398148148148"
"2017-11-30","0.0124913618222254","14904174.69879998","22988304870.789906","5303476719.660089","530521.94991487","2.34788423408007","125.23524635115247","0.01252764","383941","4.44376157407407"
"2017-11-29","0.012941769868225","14901635.89254845","27307756458.894363","5872943593.28669","599278.27368745","2.73417403857403","176.40049593103453","0.018","398873","4.61658564814815"
"2017-11-28","0.0116715457614886","14900336.68433896","24111464651.56834","5026774443.716133","506109.15902474","2.62178426161432","157.84233058680397","0.01589199","365153","4.22630787037037"
"2017-11-27","0.012720476852258","14897725.91398948","19339736045.18838","4735908470.10943","486696.18430152","2.05237059792062","120.27180524244301","0.01236","381576","4.41638888888889"
"2017-11-26","0.0114498856470855","14893173.875259","15397057171.42564","3715171132.146596","398627.64737865","1.97778771339477","96.30298034673596","0.010333045","330936","3.83027777777778"
