"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2018-02-03","-4833513.612042205","-28554637.181217015","2501486.35777081","11.0565034510275","305.68212396683134","0.318122685","9.4269212962963",""
"2018-02-02","75915090.72020122","3776887.1199383885","4769741.96372914","15.4603958599967","538.3792910332216","0.589797269221164","11.3557060185185",""
"2018-02-01","406244.36604647856","4421087.367180055","3941196.75118595","10.7834704920941","315.9430124459372","0.31","11.6754513888889",""
"2018-01-31","-29873753.178142775","-28981242.54555363","3570385.77032086","13.0615448441032","399.9134897629198","0.36480134","10.15375",""
"2018-01-30","-69607117.11204073","-21687195.7060125","3745134.05545955","13.3625995232037","492.68346339195836","0.4683599","10.4928009259259",""
"2018-01-29","18254241.736610457","-26854047.799415503","3928517.69823513","12.0970278432354","419.10618142556325","0.360674","10.8431134259259",""
"2018-01-28","-11303101.006261747","-4326601.238855717","3279487.8176308","11.8612382320692","387.7377057784978","0.31917","10.2905555555556",""
"2018-01-27","-20332297.15637583","4229850.750851572","2476636.68004082","10.9886146787357","472.2580095591293","0.43216667","9.62953703703704",""
"2018-01-26","35415814.34085791","211422085.70585075","4032695.76405456","14.723592570865","613.8762206896537","0.59","11.0350578703704",""
"2018-01-25","-19934771.379900794","-18976600.35988689","3067810.75235396","8.48725512344368","302.6503138983048","0.29","9.12633101851852",""
"2018-01-24","9301716.961768687","-47034743.6443031","3591210.5894897","14.0102525181198","520.4187391966674","0.497","10.5748611111111",""
"2018-01-23","-4183362.0553822084","-20036068.154812623","3576033.47156285","13.6977496228223","443.3457457188778","0.45","10.7464583333333",""
"2018-01-22","3676655.3335866025","-34147938.53263671","3264361.32843231","12.344604887832","397.06832080437607","0.40025538","11.2605439814815",""
"2018-01-21","5553327.255782098","441251609.7248954","3116704.31669958","9.57476803459486","597.4452467232768","0.57478535","11.6496527777778",""
"2018-01-20","-32166546.34575877","-152885245.39170185","2699294.20415289","11.0594266654434","250.59567681802517","0.217541255","11.3945486111111",""
"2018-01-19","-34759669.64712095","-63232716.77703182","3586525.94937952","11.6625686356179","502.9391344730408","0.48832153","12.0747337962963",""
"2018-01-18","-28502457.976863984","18880947.65105377","4757860.31745962","14.8568131484903","814.654559868229","0.799647672251146","13.9488888888889",""
"2018-01-17","27240456.14358987","209434552.325274","5894507.92244521","15.613124224643","964.8645573127668","0.952837","14.7810532407407",""
"2018-01-16","60523670.24250374","-55082126.74592958","5083085.12974184","14.7008837252551","780.90442335778","0.73587818","14.7909259259259",""
"2018-01-15","-66854412.54500778","75258416.7659157","4692598.54848188","12.3101981779327","691.3014220720843","0.53935389","13.9631944444444",""
"2018-01-14","12631971.681571305","-76404901.83378612","6124522.57161005","30.4081377971064","402.4894855871257","0.295531999588282","12.5184375",""
"2018-01-13","18085700.32583513","-63992735.25474291","3815929.88334202","11.1722490338091","600.1831888749733","0.434869806084572","13.6495486111111",""
"2018-01-12","-4512737.074342571","-76737286.28366424","4393838.88615529","14.781608608353","746.6346322813721","0.59387221","12.9485763888889",""
