"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2017-09-18","4094.1460687097647","3674.655933280359","60873220920.96567","67629984373.80914","421111.84783744","2795820.83226328","4752358.33083457","8805761.68880795","13875242.48530197","15634826.78434022"
"2017-09-17","3680.2824678386205","3697.2521598055223","61239171267.82276","61515288495.00572","372879.55607518","2807181.2658983","4634862.80860001","8659813.30534786","13749264.05848571","15602722.94078434"
"2017-09-16","3690.8773197080236","3711.5643972225894","61529831029.78457","61496818023.18139","607037.28500056","2810025.95985268","4613067.02847563","8651071.79374362","13740673.28120998","15602221.51049049"
"2017-09-15","3712.576733430804","3238.4060582088596","53663603321.41736","61289969016.14447","677196.41334054","2810461.97335715","4595739.18683069","8640777.74640372","13728281.2216115","15591487.14187052"
"2017-09-14","3237.6256767301334","3856.719548341798","63921355597.05704","53797846714.2644","595965.00674386","2806670.11387964","4378015.8305015","8355383.98266888","13596393.02853745","15513893.88036545"
"2017-09-13","3859.8366603333907","4159.339611137123","68914817017.89005","64385886678.33505","566735.65994462","2809233.9580157","4676482.18423503","8724796.15800715","13787865.35244012","15615192.11563832"
"2017-09-12","4157.706225561541","4210.03152697841","69716590572.46707","68967526611.78394","495307.65432574","2814872.00691919","4788396.94503298","8858824.68245361","13912100.6068944","15644219.68783884"
"2017-09-11","4213.759910680272","4242.865880764794","70182766441.67683","69756359191.37338","471204.1279698","2818882.247427","4804841.11666768","8873520.94866761","13931526.95959412","15650202.08781869"
"2017-09-10","4246.066835476877","4320.917174913142","71594629188.18924","70563390453.15257","429337.63220426","2832870.23175003","4827418.93631499","8878874.0914977","13941723.16622079","15654164.88166503"
"2017-09-09","4325.926872755988","4330.257098944597","71719461555.78543","71776989941.96732","459434.71167046","2814085.87255678","4844948.55390683","8900092.3832052","13944773.21433502","15653017.05638058"
