"Date","Adjusted RVT","Volatility","Total Issuance","1 Day Active Supply","Miner Supply","Hash Rate","Miner Revenue per Hash","Miner Revenue per Hash per Second","Miner Revenue per Hash per Second (Native Units)","Addresses Count"
"2019-10-02","60.94611072","0.5532574306997077","15470681.854792519","294640.31789112","14920149096.065844","93875521.32674389","0.00000195","0.16811772869","0.00002010369","27183538"
"2020-02-10","47.29657751","0.48604441946065063","15055351.856411451","352056.4070812","17584107559.48988","93796521.681004","0.00000189","0.163486118525","0.00001655998","28885727"
"2019-11-16","90.89984033","0.7476714924313915","15683726.949254815","250363.58814756","15138972872.877089","93582603.94677904","0.00000196","0.169635749129","0.000020009666","28014053"
"2021-07-09","69.546130902583","0.8499764648780467","27767808.87952221","268915.18772594","60827920241.8758","93532673.91199899","0.000003546063","0.30637988269","0.000009033789","38117321"
"2019-12-02","55.08542503","0.48614317794717044","13264441.445762718","253585.62067944","13049372628.475409","93510943.40678756","0.00000167","0.143907154058","0.00001966398","28323152"
"2020-03-28","95.56564721","1.7113440397422517","10516196.064779375","294216.75229334","11104259671.756664","93365368.42974424","0.00000133","0.114552649262","0.000018381893","29875102"
"2019-12-05","63.18525632","0.48888351241778844","13419907.315889832","353378.04856108","13206089961.289343","93362398.66941905","0.00000169","0.14560458304","0.000019665434","28393045"
"2019-12-27","65.26724124","0.5397911169290114","13117335.18569915","292066.2536764","12882775001.674448","93333320.1905558","0.00000164","0.141912399946","0.000019608878","28322964"
"2019-12-31","78.56484521","0.4823793507102632","12990903.536546618","333449.14555767","12762393997.708033","93333320.1905558","0.00000162","0.140319016914","0.000019577408","28404831"
"2020-05-26","61.78763355","0.7787937346647312","6847231.371354473","381111.95406691","16017577115.725279","93312010.2232083","9.3e-7","0.080641763442","0.000009127392","30146176"
"2019-10-03","64.74140573","0.5011634291113133","15167349.585151223","266293.07711397","14726052083.748672","93241227.26372536","0.00000192","0.166042413161","0.000020115771","27206012"
"2019-10-04","64.52299846","0.48877380779580665","15004448.302933965","241695.61371155","14567772191.101046","93241227.26372536","0.00000189","0.163322312001","0.000020001052","27243086"
"2019-11-19","52.92601","0.7565384500151368","14914657.985882526","300869.76368911","14481151711.909838","92950289.05524676","0.00000189","0.163405555223","0.000020131719","28005785"
"2020-04-17","58.97511682","0.9178945794815266","11241714.877494877","351511.6352284","12621459555.25819","92900151.8438449","0.00000142","0.122954555148","0.000017363041","29952850"
"2019-12-06","68.30506644","0.49434386039503386","13655752.645127112","357475.63902562","13436543615.198318","92816137.37716064","0.00000173","0.14916167259","0.000019797922","28372329"
"2019-09-24","27.65200608","0.5532486802806177","16904329.82520019","451254.27222843","15368515908.963696","92800294.9889769","0.00000215","0.1858145952","0.000021572056","27079892"
"2020-01-06","54.1155465","0.5509798209686542","13104783.677235544","221267.27528498","13828243731.415909","92602070.72462001","0.00000166","0.143238356866","0.00001844477","28471046"
"2019-10-16","62.89358854","0.5587837384021371","14306892.462620543","273981.28926521","14273345475.799845","92468911.41089214","0.00000182","0.157190424109","0.000019639337","27545249"
