"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2020-07-02","226.51837129019088","231.07903351880333","514579211.8320556","0.4669134908691627","542715","1035027107.1713736","688463925.0212023","1039119","12.02684028",""
"2020-06-22","243.23500864200793","227.82447399362212","754966023.7649746","0.6958545752094959","447809","894765447.1839603","686936116.1188232","1092083","12.63984954",""
"2019-05-23","245.53311469231173","243.56153541370986","1056800224.8893766","1.0063156867735672","339775","827679446.7124789","686132448.5937307","846724","9.8000462962963",""
"2020-02-18","283.237491201198","267.62627692876663","1328136261.9928775","0.7483529888169813","344572","887194090.922195","686056263.9602054","733983","8.49517361",""
"2018-08-13","283.8923113028109","318.2172908412897","564261596.4979037","0.7482689709991303","352269","814271252.0453478","685332862.6715671","694941","8.04329861111111",""
"2018-04-16","511.3719047338157","534.0387355681928","586466539.091473","1.0571303297819823","334786","802726683.8936021","682693886.9229251","664402","7.68983796296296",""
"2018-07-25","470.71553270238854","478.68244239356784","390763004.5266141","0.6895589323372568","431947","799815836.826411","679058225.5003066","787527","9.11489583333333",""
"2017-08-02","217.79476295550876","226.128895332352","212187918.8955945","1.8279995740407597","126128","2058596642.09476","678087133.6508718","231068","2.67439814814815",""
"2020-07-21","245.7311597107955","236.05813968722754","501180247.73572016","0.46156775227073554","440067","912178169.7138247","676055452.1575956","1120095","12.9640625",""
"2019-06-14","263.8539289067149","255.17679424300388","749750084.4261729","0.9682461194738557","351579","852581014.999777","675172311.1398238","825364","9.55282407",""
"2020-04-30","206.2321672483012","215.54610151232478","1578760063.7903345","1.0595919092310369","417656","841280477.9019935","674514928.1563486","899459","10.41040509",""
"2018-11-19","146.42799591812178","177.22653093715803","968975278.2857326","0.7785546510451833","362855","805694051.23609","673261132.3884782","622942","7.20997685185185",""
"2019-06-18","266.3663163340864","274.04052316263545","755649901.5887129","0.7986608442006433","378719","828115796.1616949","672506169.1294616","850016","9.83814815",""
"2020-07-01","231.09467064854067","225.53298244324216","419975368.39993906","0.4884714823643277","504674","1022155160.5574884","667554543.5316032","1044438","12.08840278",""
"2019-07-10","288.77029123971005","307.8640499721571","1172049014.385146","0.9084930641341726","347412","811542117.5127106","667222310.404582","736096","8.51962963",""
"2017-08-05","250.34","220.06548619999998","3481839.550678149","1.884952097599862","134502","2367956541.5094676","666559028.6116452","261400","3.02546296296296",""
"2019-06-03","249.75979795417615","269.3171103926719","931632895.3855003","1.0248638221828283","393251","794916874.9728575","666550643.0525218","889067","10.29012731",""
